category_id,category_name,category_description,category_values
10,Frog vocalizing,What is the intensity of vocalizing?,"[{'value_id': 20, 'value_description': 'There is space between calls and individuals can be counted.', 'value_name': 'Single calls'}, {'value_id': 21, 'value_description': 'Calls of individuals can be distinguished but there is some overlapping of calls.', 'value_name': 'Overlapping calls'}, {'value_id': 22, 'value_description': 'Calls are constant and overlapping.', 'value_name': 'Full chorus'}]"
11,Breaking leaf buds,How many buds are breaking?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
12,Leaf canopy fullness,What proportion of the canopy is full with leaves?,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
13,Leaf size,What proportion of full size are most leaves?,"[{'value_id': 31, 'value_description': '', 'value_name': 'Less than 25%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
14,Colored leaf proportion,What proportion of the canopy is still full with green leaves?,"[{'value_id': 30, 'value_description': '', 'value_name': '95% or more'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}]"
15,Young leaves present,How many young leaves are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
16,Young needles present,How many young needles are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
17,Emerging needles,How many needles or needle bundles are emerging?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
18,Young needle bundles present,How many bundles have young needles?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
19,Needle canopy fullness,What proportion of the canopy is full with needles?,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
20,Colored needle proportion,What proportion of the canopy is still full with green needles?,"[{'value_id': 30, 'value_description': '', 'value_name': '95% or more'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}]"
21,Initial growth of buds or shoots,How many buds or shoots have initial growth?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
22,Initial growth of shoots,How many shoots have initial growth?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
23,Fruits present,How many fresh fruits are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
24,Ripe fruits present,How many fruits are ripe?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
25,Recent fruit drop,How many mature fruits have dropped?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
26,Unripe seed cones present,How many seed cones are unripe?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
27,Ripe seed cones present,How many seed cones are ripe?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
28,Recent seed cone drop,How many mature seed cones have dropped seeds or have completely dropped from the plant?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
29,Open flowers,How many fresh flowers are open?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
30,Pollen release of flowers,How many flowers release pollen?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
31,Open flowers (peak),How many fresh flowers are open?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}, {'value_id': 35, 'value_description': 'The plant has a large number of flowers and one half (50%) or more are open and still fresh.', 'value_name': 'Peak flower'}]"
32,Pollen release of flowers (peak),How many flowers release pollen?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}, {'value_id': 36, 'value_description': 'The plant has a large number of flowers and one half (50%) or more release pollen.', 'value_name': 'Peak pollen'}]"
33,Open pollen cones (peak),How many fresh pollen cones are open?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}, {'value_id': 37, 'value_description': 'One half (50%) or more of the pollen cones on the plant are open and still fresh.', 'value_name': 'Peak opening'}]"
34,Pollen release of cones (peak),How many cones release pollen?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}, {'value_id': 38, 'value_description': 'One half (50%) or more of the pollen cones on the plant release pollen.', 'value_name': 'Peak pollen'}]"
35,Flowers or flower heads present,How many fresh flowers or flower heads are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
36,Pollen cones present,How many fresh pollen cones are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
37,Flower heads present,How many fresh flower heads are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 34, 'value_description': '', 'value_name': 'More than 10'}]"
38,Plant greeness,What percentage of the plant is green?,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
39,Breaking leaf buds (10000),How many buds are breaking?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
40,Leaf canopy fullness (dead branch),What percentage of the canopy is full with leaves? Ignore dead branches in your estimate.,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
